Bee_ID,Hive,Treatment,Box,Bee_weight_g,Gut_tube,Tube_with_gut,Gut_weight_mg,Bee_weight_mg
H9B5_1,H9,MD,B5,0.101,1.718,1.742,24,101
H9B5_2,H9,MD,B5,0.123,1.876,1.902,26,123
H9B5_3,H9,MD,B5,0.124,1.781,1.807,26,124
H10B1_1,H10,CL,B1,0.139,1.749,1.804,55,139
H10B1_2,H10,CL,B1,0.16,1.716,1.774,58,160
H10B1_3,H10,CL,B1,0.123,1.759,1.782,23,123
H10B1_4,H10,CL,B1,0.138,1.679,1.738,59,138
H10B1_5,H10,CL,B1,0.113,1.844,1.859,15,113
H10B1_6,H10,CL,B1,0.137,1.714,1.754,40,137
H10B1_7,H10,CL,B1,0.157,1.742,1.797,55,157
H10B1_8,H10,CL,B1,0.137,1.734,1.764,30,137
H10B1_9,H10,CL,B1,0.159,1.909,1.983,74,159
H10B1_10,H10,CL,B1,0.108,2.018,2.042,24,108
H10B2_1,H10,MD,B2,0.151,1.878,1.923,45,151
H10B2_2,H10,MD,B2,0.094,1.74,1.771,31,94
H10B2_3,H10,MD,B2,0.1,1.665,1.698,33,100
H10B2_4,H10,MD,B2,0.149,1.712,1.766,54,149
H10B2_5,H10,MD,B2,0.13,1.676,1.721,45,130
H10B2_6,H10,MD,B2,0.137,1.702,1.755,53,137
H10B2_7,H10,MD,B2,0.144,1.686,1.749,63,144
H10B2_8,H10,MD,B2,0.145,1.758,1.817,59,145
H10B3_1,H10,MD,B3,0.149,1.701,1.767,66,149
H10B3_2,H10,MD,B3,0.149,1.691,1.755,64,149
H10B3_3,H10,MD,B3,0.127,1.787,1.826,39,127
H10B3_4,H10,MD,B3,0.093,1.714,1.727,13,93
H10B3_5,H10,MD,B3,0.11,1.836,1.873,37,110
H10B3_6,H10,MD,B3,0.134,1.92,1.969,49,134
H10B3_7,H10,MD,B3,0.112,1.688,1.729,41,112
H10B3_8,H10,MD,B3,0.164,1.773,1.841,68,164
H10B4_1,H10,MD,B4,0.098,1.713,1.746,33,98
H10B4_2,H10,MD,B4,0.13,1.73,1.777,47,130
H10B4_3,H10,MD,B4,0.154,1.742,1.805,63,154
H10B4_4,H10,MD,B4,0.108,1.748,1.789,41,108
H10B4_5,H10,MD,B4,0.173,1.718,1.788,70,173
H10B4_6,H10,MD,B4,0.138,1.815,1.873,58,138
H10B4_7,H10,MD,B4,0.147,1.783,1.84,57,147
H10B4_8,H10,MD,B4,0.128,1.945,1.983,38,128
H10B4_9,H10,MD,B4,0.119,1.682,1.711,29,119
H10B4_10,H10,MD,B4,0.127,1.734,1.771,37,127
H10B5_1,H10,CL_Bifi,B5,0.15,1.726,1.789,63,150
H10B5_2,H10,CL_Bifi,B5,0.118,1.724,1.75,26,118
H10B5_3,H10,CL_Bifi,B5,0.106,1.743,1.765,22,106
H10B5_4,H10,CL_Bifi,B5,0.144,1.785,1.846,61,144
H10B5_5,H10,CL_Bifi,B5,0.138,1.816,1.876,60,138
H10B5_6,H10,CL_Bifi,B5,0.161,1.767,1.826,59,161
H10B5_7,H10,CL_Bifi,B5,0.155,1.731,1.8,69,155
H10B5_8,H10,CL_Bifi,B5,0.146,1.785,1.852,67,146
H10B5_9,H10,CL_Bifi,B5,0.095,1.722,1.742,20,95
H10B5_10,H10,CL_Bifi,B5,0.152,1.66,1.729,69,152
H10B6_1,H10,CL_13,B6,0.133,1.688,1.743,55,133
H10B6_2,H10,CL_13,B6,0.123,1.714,1.756,42,123
H10B6_3,H10,CL_13,B6,0.133,1.686,1.74,54,133
H10B6_4,H10,CL_13,B6,0.11,1.769,1.796,27,110
H10B6_5,H10,CL_13,B6,0.096,1.652,1.67,18,96
H10B6_6,H10,CL_13,B6,0.148,1.644,1.707,63,148
H10B6_7,H10,CL_13,B6,0.158,1.662,1.73,68,158
H10B6_8,H10,CL_13,B6,0.13,1.634,1.691,57,130
H10B6_9,H10,CL_13,B6,0.138,1.693,1.756,63,138
H10B6_10,H10,CL_13,B6,0.114,1.777,1.814,37,114
