"rep","bee","first","prop","trips"
"3C",20,NA,0,0
"3C",63,NA,0,0
"3C",2,NA,0,0
"3C",8,249890.28759408,0.253014489816597,5
"3C",7,250101.288187981,0.638503535308333,1
"3C",75,NA,0,0
"3C",36,240498.598855972,0.115378955114054,5
"3C",59,240485.598747969,0.341847826086957,23
"3C",68,249972.121143103,0.000181455271275555,2
"3C",71,NA,0,0
"3C",30,NA,0,0
"3C",46,65888.0168609619,0.308934207331877,8
"3C",27,NA,0,0
"3C",32,249904.454338074,0.0487591969073451,2
"3C",50,NA,0,0
"3C",55,NA,0,0
"3C",49,280162.69400692,0.0290650734700468,6
"3C",40,NA,0,0
"3C",18,249728.620542049,0.00286924443229952,2
"3C",44,150793.386853933,0.760315139701105,1
"3C",9,NA,0,0
"3C",76,NA,0,0
"3C",42,NA,0,0
"3C",19,NA,0,0
"3C",57,NA,0,0
"3C",15,245317.276659966,0.031166626243027,8
"3C",60,NA,0,0
"3C",62,249939.121043921,0.174393613754989,6
"3C",45,247225.281207085,0.548948063038584,5
"3C",69,NA,0,0
"3C",24,NA,0,0
"3C",14,NA,0,0
"3C",17,247749.282371044,0.407172038129823,2
"3C",16,NA,0,0
"3C",31,NA,0,0
"3C",25,NA,0,0
"3C",78,NA,0,0
"3C",21,160580.576698065,0.000609880056922085,2
"3C",6,68518.6897749901,0.871616561463571,1
"3C",53,164918.920360088,0.228429625858997,7
"3C",73,NA,0,0
"3C",77,NA,0,0
"3C",64,153150.725682974,0.676972972972973,3
"3C",28,NA,0,0
"3C",4,150468.88605094,0.123950936087799,8
"3C",48,48189.3079090118,0.940765046196356,1
"3C",5,157640.069730043,0.658314350797266,11
"3C",29,240291.764916897,0.565627333831217,1
"3C",37,278.693361997604,0.668564818934069,55
"3C",47,249849.45420599,0.639231697132783,1
"3C",33,46399.9703009129,0.0120583286595626,8
"3C",56,NA,0,0
"3C",13,NA,0,0
"3C",26,NA,0,0
"4C",48,NA,0,0
"4C",87,78651.9399220943,7.38388835561654e-05,2
"4C",34,NA,0,0
"4C",14,NA,0,0
"4C",10,NA,0,0
"4C",89,55752.0638620853,0.0807507638585769,112
"4C",12,72975.2625849247,0.0708086513293842,32
"4C",39,NA,0,0
"4C",76,157961.089445114,0.0854069466044582,60
"4C",20,98768.4780340195,0.000595805529075344,2
"4C",25,60436.7395069599,0.00333361825797085,18
"4C",80,NA,0,0
"4C",82,NA,0,0
"4C",92,NA,0,0
"4C",95,72989.2625029087,0.0204630495790459,51
"4C",47,NA,0,0
"4C",94,NA,0,0
"4C",67,NA,0,0
"4C",83,NA,0,0
"4C",74,NA,0,0
"4C",24,64719.7471499443,0.000423414840690084,2
"4C",27,NA,0,0
"4C",13,NA,0,0
"4C",32,NA,0,0
"4C",33,NA,0,0
"4C",43,NA,0,0
"4C",30,NA,0,0
"4C",85,493191.550834894,0.0828842422935978,1
"4C",3,68095.4198889732,0.0039089766857463,6
"4C",75,NA,0,0
"4C",26,NA,0,0
"4C",21,345844.110136986,0.000146134736226822,2
"4C",81,NA,0,0
"4C",40,72967.2624640465,0.00118525542254355,6
"4C",56,NA,0,0
"4C",77,NA,0,0
"4C",65,NA,0,0
"4C",29,NA,0,0
"4C",90,NA,0,0
"4C",8,NA,0,0
"4C",99,73156.5961880684,0.000615721420264004,6
"4C",66,82692.9477310181,0.0311790525200546,4
"4C",11,NA,0,0
"4C",45,NA,0,0
"4C",4,493864.385456085,0.00122208643484067,7
"4C",35,NA,0,0
"4C",5,NA,0,0
"4C",78,NA,0,0
"4C",19,NA,0,0
"4C",55,NA,0,0
"4C",42,NA,0,0
"4C",9,244297.253588915,0.0373626373626375,11
"4C",72,NA,0,0
"4C",23,NA,0,0
"4C",36,NA,0,0
"4C",62,69187.2551739216,0.0432240921169176,167
"4C",98,NA,0,0
"4C",31,NA,0,0
"4C",68,NA,0,0
"4C",37,NA,0,0
"4C",49,NA,0,0
"4C",54,NA,0,0
"4C",50,NA,0,0
"4C",2,62296.4093329906,0.0154491703223345,81
"4C",61,87831.9574649334,0.0141234850653689,103
"4C",28,NA,0,0
"4C",91,NA,0,0
"4C",57,130399.370487928,0.000314531348291069,2
"4C",18,51132.8885231018,0.00734534603466086,14
"4C",46,68161.5866639614,0.00142264374629519,10
"4C",16,NA,0,0
"4C",63,NA,0,0
"4C",53,NA,0,0
"4C",15,NA,0,0
"4C",44,332610.752597094,0.00566343042071193,14
"4C",41,NA,0,0
"4C",1,NA,0,0
"4C",59,NA,0,0
"4C",88,NA,0,0
"4C",60,78263.7724919319,0.00611076732673266,62
"4C",79,NA,0,0
"4C",22,NA,0,0
"4C",69,NA,0,0
"4C",96,410610.231314898,0.00101440454453239,8
"4C",84,NA,0,0
"4C",17,NA,0,0
"4C",38,NA,0,0
"4C",73,161032.761928082,0.00101235067827488,8
"4C",70,NA,0,0
"4C",97,455799.148160934,0.222877016713361,1
"4C",71,NA,0,0
"4C",86,NA,0,0
"4C",64,73386.9299900532,0.0132299270072993,107
"4C",7,NA,0,0
"5C",55,51512.32147789,0.0314382076608046,90
"5C",69,NA,0,0
"5C",67,NA,0,0
"5C",23,428463.098180056,0.000649702219815973,2
"5C",29,NA,0,0
"5C",57,NA,0,0
"5C",10,NA,0,0
"5C",90,54796.4969570637,0.0432330827067668,192
"5C",44,130153.531486988,0.0219512195121951,116
"5C",20,328939.437865973,0.000634195839675389,2
"5C",58,53364.1596279144,0.0768926665348884,82
"5C",42,136338.880999088,0.00678700361010831,6
"5C",48,59064.1750850677,0.0105421686746987,2
"5C",31,137932.051800966,0.0176335743255158,66
"5C",7,NA,0,0
"5C",36,NA,0,0
"5C",52,57267.1702170372,0.0439158279963403,192
"5C",79,NA,0,0
"5C",2,309348.908185005,0.000638637573177281,4
"5C",32,NA,0,0
"5C",93,51548.9882190228,0.0118714301713518,28
"5C",65,56583.5016560555,0.000860667495457657,10
"5C",8,296238.22141099,0.0318875992669518,4
"5C",11,NA,0,0
"5C",14,55038.6641469002,0.0080848243870113,16
"5C",91,53294.9931690693,0.0042265426880812,12
"5C",43,NA,0,0
"5C",85,300962.852667093,0.0650021070375053,86
"5C",50,73368.3799569607,0.0254324546952225,28
"5C",75,NA,0,0
"5C",35,53322.3262081146,0.0113207547169811,10
"5C",63,104190.295927048,0.00453229258466581,4
"5C",45,NA,0,0
"5C",84,147014.908883095,0.221200054922422,144
"5C",56,409197.370429993,0.0235531628532974,2
"5C",74,NA,0,0
"5C",33,51635.4884591103,0.42448362720403,32
"5C",87,NA,0,0
"5C",66,55017.1641049385,0.0422219454477519,27
"5C",80,53917.9944460392,0.0123505976095617,68
"5C",54,51484.9880750179,0.0176463713918429,76
"5C",13,53389.4930839539,0.00902378999179665,6
"5C",34,53295.8264400959,0.0403508771929824,124
"5C",88,53313.9928600788,0.00750317441994697,8
"5C",97,50927.3198840618,0.00218139105629667,16
"5C",9,322608.596012115,0.0155020551967118,4
"5C",86,332739.463057041,0.00366449511400657,6
"5C",41,58272.8397080898,0.0053558676505594,6
"5C",78,NA,0,0
"5C",40,56714.0023899078,0.0480789641265125,88
"5C",39,54826.6636180878,0.0027147355847541,4
"5C",38,NA,0,0
"5C",47,41969.6286449432,0.0297090729783038,92
"5C",64,331600.255475998,0.0189352953906081,10
"5C",16,53518.8267250061,0.186264822134387,67
"5C",28,409160.370158911,0.0232617261980426,2
"5C",27,NA,0,0
"5C",95,NA,0,0
"5C",17,139223.388489008,0.0535041446872646,129
"5C",68,69099.3683331013,0.00639658848614078,2
"5C",59,51286.6542339325,0.000196309383588611,2
"5C",72,NA,0,0
"5C",73,NA,0,0
"5C",71,56700.8353350163,0.00187745349035673,4
"5C",89,54980.9977018833,0.00665840817590579,10
"5C",3,95693.4397931099,0.0177296799447386,38
"5C",37,51360.4877529144,0.0535088778838024,102
"5C",30,NA,0,0
"5C",1,146821.075010061,0.0155320956194636,73
"5C",6,336228.28619194,0.000240269101393631,4
"5C",76,NA,0,0
"5C",94,416273.017146111,0.00294599018003283,2
"5C",18,130549.532497883,0.00387013545474102,18
"5C",5,424363.071064949,0.00126953124999996,2
"5C",4,54296.3288021088,0.00489715964740456,8
"5C",21,54321.9955990314,0.0813734246303464,256
"5C",49,52559.824311018,0.00740666599939943,12
"5C",25,NA,0,0
"5C",83,56060.50020504,0.0605228471001757,100
"5C",92,61588.0152859688,0.0139723005270254,54
"5C",53,56319.3342359066,0.00185276679841895,6
"5C",15,53438.826513052,0.0113087525032396,24
"5C",61,152092.589018106,0.111655239960823,42
"5C",96,56504.668102026,0.00706315897225918,22
"5C",24,405058.34288311,0.0523678276121273,2
"5C",60,139640.889578104,0.031646514405135,8
"5C",46,389769.241097927,0.0897055466788403,6
"5C",70,53435.826597929,0.0183025830258303,18
"5C",62,64751.8567490578,0.00278862242052424,4
"5C",26,285465.949889898,0.0974200617591394,128
"5C",77,220254.117402077,0.0384918549658435,22
"5C",22,55802.1661739349,0.00986901130450391,75
"5C",19,6531.70324802399,0.0561635598316297,80
"6C",10,446343.831453085,0.00258415979885451,6
"6C",50,345383.019686937,0.000252940432528215,2
"6C",25,61873.5035579205,0.00137527935361881,6
"6C",57,64973.7223489285,0.000378644452858845,4
"6C",77,NA,0,0
"6C",42,260484.706458092,0.066270709596749,17
"6C",23,202530.556581974,0.129745641180466,6
"6C",2,6.32609605789185,0.0906750173973556,1
"6C",38,319878.464893103,0.00521756251230565,4
"6C",75,251715.853408098,0.00639066407335376,1
"6C",71,180453.622881889,0.00271230826786373,2
"6C",47,106290.17363596,0.0343457280726653,6
"6C",74,255415.475878,0.00329388800780772,5
"6C",66,246652.222784042,0.10702263493906,22
"6C",32,NA,0,0
"6C",29,187875.668162107,0.0141045265689919,2
"6C",59,251139.249793053,0.00982928091050184,6
"6C",55,28.1258959770203,0.147703122445643,1
"6C",3,324427.092658997,0.00995181227739361,24
"6C",16,36.3259871006012,0.00358630263766768,1
"6C",9,NA,0,0
"6C",46,NA,0,0
"6C",34,8220.5758728981,0.00582479030754901,22
"6C",54,65154.9234271049,0.00222316324370109,8
"6C",41,431898.743695974,0.00130868640601989,4
"6C",81,254971.673074961,0.00095188646590505,2
"6C",40,234250.748017073,0.16541761703052,63
"6C",28,NA,0,0
"6C",15,359082.302571058,0.0132270338829499,14
"6C",53,NA,0,0
"6C",67,366241.545908928,0.00556409693242554,4
"6C",17,93704.8973920345,0.176438505590401,5
"6C",69,NA,0,0
"6C",21,491536.905075073,7.1983875611803e-05,2
"6C",58,NA,0,0
"6C",20,442320.00703311,0.000241118791191042,4
"6C",70,NA,0,0
"6C",63,NA,0,0
"6C",13,52111.6440060139,0.000329842500206068,2
"6C",39,542684.569531918,0.000217754228061251,2
"6C",65,NA,0,0
"6C",44,331146.53314805,0.00329519450800908,6
"6C",14,NA,0,0
"6C",51,51707.2416820526,0.00784030535926128,96
"6C",48,NA,0,0
"6C",19,NA,0,0
"6C",30,128057.305222034,0.0312634756360499,16
"6C",12,NA,0,0
"6C",6,NA,0,0
"6C",52,NA,0,0
"6C",33,273224.783272028,0.00287513691128138,34
"6C",1,NA,0,0
"6C",68,498801.502629042,0.00399034892353378,4
"6C",7,NA,0,0
"6C",18,NA,0,0
"6C",5,NA,0,0
"6C",8,364079.132823944,0.00151228733459363,2
"6C",24,NA,0,0
"6C",26,147450.823065996,0.0153991200502828,4
"6C",56,NA,0,0
"6C",78,528371.682235003,0.000416753490310562,4
"6C",80,431856.743464947,0.00387740029542094,2
"6C",4,NA,0,0
"6C",27,NA,0,0
"6C",11,NA,0,0
"6C",60,205.127043962479,0.207567470635703,121
"6C",73,NA,0,0
"6C",49,317645.651442051,0.00283350334353405,14
"6C",79,NA,0,0
"6C",37,138543.969368935,0.0565827888224664,43
"6C",22,267595.549350977,0.0324047754405912,4
"6C",43,312433.819992065,0.00821943110454382,24
"6C",76,41469.7788579464,0.00116595413913712,2
"6C",62,85107.4448509216,0.00130344108446301,4
"6C",35,235217.153877974,0.117661964692964,294
"6C",61,94563.1023440361,0.0198397056891342,2
"7C",42,229243.714768887,0.00566416955965643,18
"7C",76,234301.349802017,0.365054189796458,9
"7C",69,48711.44571805,0.0350028457598179,14
"7C",67,57712.5091540813,0.48186663200312,47
"7C",51,500864.718470097,0.014049399501473,2
"7C",16,417419.158941031,0.0545404208194906,3
"7C",75,84076.0960490704,0.012410071942446,20
"7C",63,NA,0,0
"7C",4,NA,0,0
"7C",54,417284.957777023,0.256786647898653,1
"7C",23,417486.759023905,0.220429390585411,1
"7C",62,64960.5604178905,0.00625000000000009,8
"7C",11,160341.435412884,0.123322451940515,32
"7C",30,NA,0,0
"7C",39,326154.159323931,0.458314505196566,7
"7C",80,57681.9089539051,0.560412443817749,23
"7C",1,70863.4024279118,0.0366225839267549,8
"7C",65,158785.024802923,0.370346432264736,8
"7C",29,64643.9581730366,0.0917678812415654,24
"7C",34,8.69855308532715,0.0667114770626784,3
"7C",68,488089.832133055,0.200674019607843,1
"7C",77,NA,0,0
"7C",49,NA,0,0
"7C",53,65013.7607901096,0.0330644094696468,16
"7C",10,54718.2880001068,0.062946138870863,110
"7C",5,44.8987619876862,0.190587580061264,41
"7C",19,72012.6104669571,0.0843539761945835,56
"7C",12,NA,0,0
"7C",45,63196.9479460716,0.1572751530372,50
"7C",22,138730.283457994,0.643589058184086,17
"7C",60,NA,0,0
"7C",28,71868.0095260143,0.0159851301115241,6
"7C",33,NA,0,0
"7C",59,57421.7071139812,0.44459249389296,21
"7C",18,NA,0,0
"7C",73,90.6994550228119,0.498698358800226,12
"7C",55,64658.5582950115,0.00749898662342918,6
"7C",66,64729.9587659836,0.0205153454784179,36
"7C",27,150741.568460941,0.308976261127596,31
"7C",35,56266.6989779472,0.312988650693569,50
"7C",24,71350.40583992,0.187797059798828,7
"7C",58,359938.979357958,0.267952296371479,9
"7C",8,66484.7712650299,0.182712313221108,26
"7C",7,NA,0,0
"7C",52,71643.2081830502,0.0771450557906888,70
"7C",25,417653.960190058,0.0824186046511628,16
"7C",21,415086.54282999,0.203234985772053,1
"7C",32,NA,0,0
"7C",14,505237.348645926,0.125966494845361,1
"7C",20,64890.1599340439,0.0450184501845019,6
"7C",40,71248.0050179958,0.0456865747830526,32
"7C",17,233001.740777016,0.477683956574186,13
"7C",36,NA,0,0
"7C",74,71540.2071270943,0.0183265263378365,86
"7C",50,NA,0,0
"7C",64,71463.206649065,0.154890358510268,40
"7C",2,64658.9582779408,0.133143423334159,16
"7C",46,155344.400644064,0.0238536973230852,32
"7C",37,64915.7600700855,0.0319037656903767,28
"7C",56,64652.5582330227,0.0829694323144106,94
"7C",13,3230.32179307938,0.407023863124718,44
"7C",26,257363.509849072,0.00775193798449614,34
"7C",44,57995.3111810684,0.435240690281562,5
"7C",48,71578.6074199677,0.00332881272346186,6
"7C",70,149223.157509089,0.235804943219773,5
"7C",57,71635.6078329086,0.00981767180925663,46
"7C",41,NA,0,0
"7C",9,71618.6076369286,0.0865384615384615,4
"7C",72,417103.756454945,0.122492080253432,1
"7C",78,NA,0,0
"7C",61,NA,0,0
"7C",31,240875.395026922,0.00495626822157424,2
"7C",43,500408.315145016,0.0534627644161112,2
"8C",53,73702.1189539433,0.0162162162162163,32
"8C",56,410938.512248039,0.0151304347826087,46
"8C",30,227550.233458996,0.628085191082802,3
"8C",27,146819.557352066,0.0421582507472078,24
"8C",54,86160.7938790321,0.012864354339684,10
"8C",57,NA,0,0
"8C",15,69484.6940550804,0.0533980582524272,22
"8C",25,NA,0,0
"8C",29,NA,0,0
"8C",84,99364.0727040768,0.0894347346874509,20
"8C",42,55796.2119541168,0.0661997288748306,70
"8C",58,56873.418309927,0.0504306854155929,2
"8C",23,331226.244405985,0.00150647785477553,4
"8C",64,328055.825619936,0.0105883929768127,24
"8C",69,86698.9971449375,0.0248292985723153,54
"8C",12,277657.928478003,0.0161549925484352,6
"8C",82,55372.6095058918,0.479427792915531,15
"8C",51,56180.2142028809,0.459419295839049,19
"8C",79,42839.7348980904,0.216788807461692,48
"8C",6,60874.2427990437,0.0228597380970403,54
"8C",89,57108.6199851036,0.00813439434129082,4
"8C",36,417223.750324011,0.0105056980056981,8
"8C",61,NA,0,0
"8C",71,94210.0418570042,0.0176693310896088,20
"8C",19,329240.432636023,0.00318167356029275,4
"8C",34,NA,0,0
"8C",80,NA,0,0
"8C",60,455592.778021097,0.00691489361702136,4
"8C",26,167303.877394915,0.00898824613966354,32
"8C",48,185682.586093903,0.0577611454604621,8
"8C",22,NA,0,0
"8C",81,415676.140568972,0.0920565235286048,4
"8C",72,NA,0,0
"8C",28,59388.2338910103,0.0235454545454545,60
"8C",65,365065.242845058,0.0797885419227933,6
"8C",8,NA,0,0
"8C",32,363038.631000996,0.00140845070422535,4
"8C",18,69488.4938209057,0.0668724279835391,36
"8C",73,55632.2109971046,0.0297532656023223,4
"8C",9,54775.6059141159,0.0849831901382143,96
"8C",67,76446.7351689339,0.00800761119479909,20
"8C",52,330120.037832022,0.0428109854604199,36
"8C",83,NA,0,0
"8C",16,75141.927519083,0.12448132780083,2
"8C",49,66326.4752140045,0.170849712730571,8
"8C",38,65243.6690769196,0.00357227911407487,4
"8C",75,60963.2433719635,0.0208185809375443,32
"8C",46,147294.760149956,0.0892027680348848,150
"8C",88,485246.353270054,0.221300326441785,1
"8C",2,52586.9931468964,0.064738555832216,44
"8C",3,440316.287811041,0.00797838116072569,2
"8C",68,NA,0,0
"8C",45,195.87784409523,0.694989106753813,500
"8C",78,415905.742064953,0.00595238095238093,4
"8C",47,466952.84514904,0.00207738249805245,2
"8C",41,327676.023339987,0.00709639266706086,6
"8C",24,122669.212017059,0.527038626609442,342
"8C",40,66083.6737101078,0.050233039875712,16
"8C",11,169296.089119911,0.133700696055684,20
"8C",17,81228.3643460274,0.0100113030841273,42
"8C",76,76855.3376700878,0.0176728182671255,46
"8C",35,91603.6262369156,0.0228211686012199,12
"8C",85,419271.96342206,0.00397501419647917,2
"8C",39,485453.754530907,0.00517277053589904,2
"8C",63,334201.461740971,0.167507418397626,4
"8C",44,413034.524354935,0.0611653999276149,24
"8C",1,69702.4950630665,0.0297744890768146,20
"8C",62,51762.1882190704,0.0102884128858154,10
"8C",87,329553.234569073,0.375461699052513,1
"8C",50,415867.541799068,0.0038636363636364,2
"8C",21,69472.093640089,0.0251026928343223,30
"8C",4,156238.011775017,0.0664462809917354,8
"8C",59,76052.9328999519,0.0229296527159395,32
"8C",66,427854.213799953,0.217511680221492,2
"8C",5,75027.7268021107,0.00491062659595354,6
"8C",33,55438.0098490715,0.143092105263158,82
"8C",74,NA,0,0
"8C",77,70171.0978150368,0.00312548835755577,8
"8C",20,507558.685858965,0.00304735114861687,2
"8C",10,147203.15993309,0.0047438330170777,12
"8C",31,415897.141982079,0.000149209191286248,2
"8C",37,NA,0,0
"8C",43,NA,0,0
"8C",55,58961.0313789845,0.0578868490071187,12
"8C",14,64972.0670480728,0.0260137719969395,38
"8C",13,69289.0926311016,0.495578947368421,174
"8C",7,71132.3034460545,0.0194059405940594,32
"8C",86,427796.813465118,0.00127496812579686,2
"9C",9,NA,0,0
"9C",26,151555.394582987,0.0392312789927105,40
"9C",59,321813.437416077,0.137783874409389,4
"9C",34,NA,0,0
"9C",54,416532.623198032,0.0158470995005762,4
"9C",46,145704.558223009,0.00983176753331882,4
