Sample_ID	Treatment	Lactobacillus Firm-5	Lactobacillus Firm-5	Lactobacillus kunkeei	Lactobacillus Firm-4	Bartonella apis	Bombella apis	Gilliamella apicola	Lactobacillus Firm-5	Gilliamella apicola	Snodgrassella alvi	Bifidobacterium asteroides	Snodgrassella alvi	Lactobacillus Firm-5	Bifidobacterium asteroides	Lactobacillus Firm-4	Lactobacillus Firm-5	Gluconacetobacter sp.	Frischella perrara	Lonsdalea quercina	Gluconacetobacter sp.	Bombella apis	Lactobacillus Firm-4	Pantoea sp.	Pantoea sp.	Fructobacillus sp.	Bifidobacterium coryneforme	Gluconobacter sp.	Frischella perrara	Lactobacillus Firm-4	Lactobacillus Firm-5	Spiroplasma sp.	Frischella perrara	Lactobacillus Firm-5	Serratia sp.	Zymobacter sp.	Bartonella apis	Neisseriaceae	Erwinia 	Enterobacteriaceae	Fructobacillus 	Enterobacteriaceae	Neisseriaceae	Lactobacillus 	Fructobacillus 	Fructobacillus 	Enterobacteriaceae	Neisseriaceae	Pasteurellales	Pasteurellales	Pasteurellales	Lactobacillus 	Pasteurellales	Pasteurellales	Pasteurellales	Lactobacillus 	Enterobacteriaceae	Neisseriaceae	Bifidobacterium 	Lactobacillus 	Serratia 	Enterobacteriales	Enterococcus 	Serratia 	Halomonadaceae	Pasteurellales	Gluconobacter 	Lactobacillus 	Pasteurellales	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Pasteurellales	Bacteria	Bacteria	Bacteria	Bacteria	Fructobacillus 	Pasteurellales	Pasteurellales	Bifidobacterium 	Bacteria	Fructobacillus 	Bacteria	Bacteria	Bacteria	Bacteria	Pasteurellales	Pasteurellales	Pasteurellales	Bacteria	Pasteurellales	Pasteurellales	Snodgrassella alvi	Fructobacillus 	Pasteurellales	Snodgrassella alvi	Lactobacillales	Pasteurellales	Lactobacillales	Enterobacteriaceae	Fructobacillus 	Bartonellaceae	Pasteurellales	Pasteurellales	Fructobacillus 	Fructobacillus 	Neisseriaceae	Pasteurellales	Fructobacillus 	Erwinia 	Lactobacillus 	Pasteurellales	Lactobacillus 	Snodgrassella alvi	Lactobacillales	Pasteurellales	Betaproteobacteria	Enterobacteriaceae	Halomonadaceae	Acetobacteraceae	Rhizobiales	Gluconobacter 	Bartonellaceae	Rhizobiales	Pasteurellales	Fructobacillus 	Lactobacillus 	Bacteria	Enterobacteriaceae	Lactobacillus 	Pasteurellales	Pasteurellales	Lactobacillus 	Pasteurellales	Rhizobiales	Bacteria	Pasteurellales	Rhizobiales	Fructobacillus 	Pasteurellales	Snodgrassella alvi	Leuconostocaceae	Lactobacillus 	Lactobacillus 	Bifidobacterium 	Acetobacteraceae	Lactobacillales	Gluconobacter 	Pasteurellales	Bacilli	Enterobacteriaceae	Bifidobacterium 	Lactobacillus 	Bartonellaceae	Lactobacillales	Fructobacillus 	Enterobacteriaceae	Bifidobacterium 	Pasteurellales	Enterobacteriaceae	Pasteurellales	Fructobacillus 	Rhizobiales	Neisseriaceae	Enterobacteriaceae	Pasteurellales	Snodgrassella alvi	Snodgrassella alvi	Lactobacillus 	Lactobacillales	Lactobacillus 	Lactobacillus 	Enterobacteriaceae	Rhizobiales	Proteobacteria	Bartonellaceae	Streptococcus 	Pasteurellales	Lactobacillus 	Pasteurellales	Bacteria	Snodgrassella alvi	Gluconobacter 	Enterobacteriaceae	Actinobacteria	Peptoniphilus 	Bifidobacterium 	Proteobacteria	Novosphingobium 	Fructobacillus 	Snodgrassella alvi	Neisseriaceae	Gluconobacter 	Rickettsiales	Pasteurellales
X11	Heat killed	404	28	351	16	50	60	195	47	193	39	27	28	46	40	41	0	54	3	0	0	63	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
X12	Heat killed	18	137	346	14	20	0	0	65	18	171	0	141	229	81	36	0	0	130	173	69	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0
X13	Heat killed	71	32	119	8	810	5	10	19	0	169	0	126	0	57	37	92	0	102	94	27	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X14	Heat killed	63	109	363	18	309	17	139	44	130	28	53	0	145	49	0	0	24	0	22	0	180	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X15	Heat killed	106	40	120	17	155	4	361	76	399	52	32	51	0	0	24	147	0	0	0	34	0	0	0	0	1	0	0	55	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X16	Heat killed	79	48	166	3	670	40	55	18	48	0	21	0	0	30	20	69	18	109	101	0	12	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X17	Heat killed	60	80	208	0	669	13	41	0	0	73	29	65	150	29	0	0	0	0	0	7	0	36	0	0	3	19	0	145	0	3	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
X18	Heat killed	76	47	297	11	292	34	246	56	235	81	56	80	44	0	36	25	46	0	0	0	84	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
X19	Heat killed	88	25	462	13	74	19	56	66	38	145	63	120	383	73	0	0	46	8	0	0	0	0	0	0	16	20	0	0	65	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X20	Heat killed	213	54	207	4	0	1	428	0	448	69	0	77	0	51	27	99	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
