ID,Chainlength,Type,Ret Time,Ret Index,T_1b,T_2b,T_3b,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49,T_50,T_51,T_52,T_53,T_54,T_55,T_56,T_57,T_58,T_59,T_60,T_61,T_62,T_63,T_64,T_65,T_66,T_67,T_68,T_69,T_70,T_71,T_72,T_73,T_74,T_75,T_76,T_77,T_78,T_79,T_80,T_81,T_82,T_83,T_84,T_85,T_86,T_87,T_88,T_89,T_90,T_91,T_92,T_93,T_94,T_95,T_96,T_97,T_98,T_99,T_100,T_101,T_102,T_103,T_104,T_105,T_106,T_107,T_108
C31ene_1,31,Alkene,46.311,3076,0,0,0,0,0,0,1.33,0,0.74,0.64,0,0.77,0.62,0,0.62,0,0,0,2.86,2.92,3.83,4.05,4.79,6.09,4.79,5.36,2.44,2.64,4.53,2.98,8.19,8.72,4.41,6,7.08,3.48,9.5,10.24,4.57,5.48,3.85,9.08,4.53,7.82,4.94,8.08,9.16,1.92,11.3,11.43,9.08,9.95,9,4.44,2.49,9.68,14.28,4.76,2.19,8.19,6.17,8.76,8.3,8.3,9.58,2.44,10.11,9.62,8.46,12.96,3.27,1.71,2.13,10.82,2.72,2.67,2.2,8.27,9.04,1.8,11.75,2.58,1.6,3.55,7.46,6.18,2.43,4.45,5.92,0.48,6.95,9.9,5.42,8.56,0.69,6.81,3.22,2.11,8.45,9.85,1.41,1.74,9.09,2.72,10.9,6.15,4.89,4.24
C31ene_2,31,Alkene,46.396,3083,0,0,0,0,0,3.09,2.04,0,1.39,1.03,0,0,0.84,0,0.6,0,0,4.48,3.18,4.25,5.43,5.93,6.61,7.5,6.08,5.89,4.38,4.19,3.83,2.88,6.68,8.41,5.08,6.96,7.77,3.62,8.75,9.09,4.24,5.46,3.9,9.33,4.33,10.39,8.64,8.86,7.29,1.7,9.86,8.82,8.46,10.26,8.77,4.48,2.25,9.37,5.37,4.13,2.17,9.28,4.87,8.6,9.69,8.18,8.52,2.56,9.88,8.06,6.27,11.89,3.58,2.12,2.51,10.5,3.32,3.01,2.63,8.34,7.01,2.21,12.32,3.91,1.68,5.45,7.93,6,3.31,4.98,11.12,1.13,8.86,8.19,5.35,11.54,1.19,6.75,3.24,3.62,12.86,9.72,1.44,1.64,7.81,2.99,9.35,5.27,4.86,4.27
C31,31,Alkane,46.612,3100,0,0,0,0,0,7.42,4.79,0,2.48,1.78,2.12,0.61,1.49,0,1.2,0,0,8.51,3.79,5.25,8.39,10.17,5.57,7.69,9.14,7.43,9.06,6.27,2.52,1.73,5.67,8.16,12.26,10.37,8.11,2.24,8.46,7.95,3.73,6.34,4.14,10.97,3.96,10.19,13.55,9.22,6.71,2.23,9.46,7.26,9.49,12.18,7.96,8.42,2.12,9.57,6.25,4.88,3.07,13.1,4.1,9.67,13.24,9.69,6.99,2.69,9.05,7.59,4.25,11.07,3.65,2.29,3.19,10.8,3.2,2.61,5.74,7.93,6.43,3.5,9.07,3.51,2.02,6.11,5.21,3.33,2.51,8.18,15.69,1.63,8.69,6.22,5.26,13.02,1.7,8.19,2.12,6.3,14.96,10.12,1.61,1.74,8.78,2.79,10.72,5.66,4.53,6.68
15-;13-;11-MeC31,31,Methyl,46.98,3129,4.68,4.75,4.51,2.74,2.96,4.9,2.77,6.43,8.32,7.39,6.14,8.61,7.59,7.59,6.55,4.31,5.45,4.34,5.92,7.96,5.43,5.79,5.56,4.25,3.92,3.64,4.79,5.88,6.64,6.05,6.11,3.73,2.33,4.36,2.85,6.59,1.9,2.38,3.14,1.99,2.86,2.28,2.21,2.16,2.34,2.45,3.61,1.58,2.3,2.9,2.05,2.12,2.56,2.29,0.68,1.88,2.26,3.14,1.22,1.63,2.13,1.48,1.8,1.83,2.6,1.42,2.85,2.24,0.91,0.77,1.9,1.6,0.53,1.46,0.81,1.12,1.33,1.06,1.44,1.12,1.44,0.35,0.78,1.34,1.57,1.12,0.28,0.65,1.07,0.47,0.69,0.83,1.46,1.23,0.3,1.09,0.72,0.56,1.17,0.79,0.77,0.55,1.28,0.66,1.02,0.35,1.1,0.81
"13,17-diMeC31",31,Dimethyl,47.341,3157,0,0,0,0,0,0,0,0,0.97,0,0,1.01,0.56,0.65,0.5,0,0,0,0.68,1.12,0.63,0.77,0.54,0.74,0.41,0.54,0.7,0.96,1.06,0.84,1.65,0.88,0.43,0.97,0.92,2.11,0.51,0.72,0.97,0.5,0.65,0.74,0.4,0,0,0.56,0.9,0.33,0.74,0.93,0.38,0.67,0.87,0.77,0.18,0.64,0.83,0.84,0.23,0,0.62,0.39,0.48,0.34,0.46,0,0.77,0.69,0.17,0,0.44,0.44,0,0.54,0,0.15,0.23,0,0.27,0,0.29,0,0,0,0.29,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.2,0.58,0.21,0.47,0.09,0.36,0.16
C32ene,32,Alkene,47.622,3179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0.5,0,0.51,0.58,0.38,0.61,0.81,0.23,0.22,0,0.57,0,0,0,0.78,0.34,0,0.71,0.81,0.24,0.55,0.67,0.41,0,0.7,0.66,0.25,0,0,0.27,0.67,0.5,0.28,0,0,0.59,0.65,0.18,0.56,0,0,0,0.85,0,0,0,0.26,0.21,0,0.67,0,0,0,0.23,0,0,0,0.34,0,0,0.27,0,0,0,0,0,0,0,0.38,0,0.07,0.61,0.11,0.57,0.16,0.44,0.09
C33diene,33,Alkadiene,48.594,3255,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0.16,0.15,0,0,0,0.38,1.16,0.36,0,0,1.04,0.37,0.21,0.82,1.53,0.5,0.44,0.88,0.53,0.53,1.18,1.34,0.39,0.54,0.18,0.68,0.45,0.2,2.22,0.9,0.84,1.77,1.95,1.5,0.31,2.26,2.29,1.2,0.22,1.62,0.73,0.97,1.25,1.03,0.19,0.09,1.93,1.6,0.36,1.46,1.65,0.17,0.21,3.35,0.66,0.66,0.17,1.22,1.61,0.13,3.04,0.13,0,0,1.08,0.88,0,0.1,1.51,0,0.45,1.89,0.65,0.84,0,1.63,0.09,0,2.99,1.27,0,0.15,2.09,0.39,0,0.11,0.74,0.6
C33ene,33,Alkene,48.85,3276,0,0,0,0,0,3.29,4.67,0,2.09,0,0,0,0,0,0,0,0,8.96,4.95,4.57,6.28,6.21,6.76,9.58,8.23,7.65,7.26,4.21,1.76,1.36,8.4,9.41,4.29,10.42,14.8,5.03,13.47,17.47,4.93,5.8,5.03,16.72,5.27,21.47,16.28,17.48,6.09,1.77,15.57,13.27,11.22,18.94,15.44,9.07,4.25,21.52,12.68,6.02,2.32,16.31,7.06,15.34,14.13,13.67,5.06,2.95,17.18,13.93,7.05,21.64,7.84,2.82,4.87,22.85,4.37,4.14,3.52,13.43,10.37,3.16,22.87,3.89,0.55,6.68,11.18,8.14,2.38,4.56,19.58,1.43,16.11,17.09,4.53,14.26,0.67,12.35,3.68,3.5,24.52,14.41,0.42,1.91,11.02,3.39,0.14,5.71,8.41,5.44
C33,33,Alkane,49.16,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.32,0.97,0,0,0,0.55,0.66,0.91,1.34,1.16,0,0.96,0.94,0.17,0.36,0.29,2.06,0.22,0.6,1.1,1.32,0.37,0.12,1.13,0.75,1.05,3.36,1.2,1.63,0.17,1.86,1.58,0.36,0,1.84,0.39,1.8,1.6,0.93,0,0,1.53,1.03,0.45,1.96,0.67,0,0.3,2.53,0.28,0.25,0.49,0.86,0.86,0.27,1.92,0,0,0.77,0.59,0.35,0,0.55,3.55,0,1.27,1.18,0.29,1.88,0,1.5,0,0.55,3.34,1.21,0,0.24,1.32,0.31,1.91,0.45,0.77,1.19
17-;15-;13-MeC33,33,Methyl,49.569,3332,0,0,0,0,0,0,0,0,1.05,0.08,0,1.31,0,0.52,0.58,0,0,0,0,0,0.63,0.76,0.29,0.5,1.06,1.13,1.82,1.15,1.87,1.41,1.96,1.05,0.69,1.58,0.93,1.86,0.68,0.73,0.73,0.44,0.81,1,0.58,0,0,0.75,1.08,0.52,0.62,0.97,0.75,1.05,0.92,0.76,0.17,0.86,1.2,0.85,0.24,0.44,0.69,0.52,0.52,0.47,0.55,0.46,0.9,0.76,0.38,0.36,0.77,0,0,0.59,0.29,0.39,0.32,0.23,0.58,0.37,0.66,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0.34,0.15,0,0,0.27,0,0.11,0.42,0.12,0.51,0.09,0.41,0.25
