ID,Chainlength,Type,Ret Time,Ret Index,T_1b,T_2b,T_3b,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49,T_50,T_51,T_52,T_53,T_54,T_55,T_56,T_57,T_58,T_59,T_60,T_61,T_62,T_63,T_64,T_65,T_66,T_67,T_68,T_69,T_70,T_71,T_72,T_73,T_74,T_75,T_76,T_77,T_78,T_79,T_80,T_81,T_82,T_83,T_84,T_85,T_86,T_87,T_88,T_89,T_90,T_91,T_92,T_93,T_94,T_95,T_96,T_97,T_98,T_99,T_100,T_101,T_102,T_103,T_104,T_105,T_106,T_107,T_108
13-;11-MeC25,25,Methyl,38.744,2532,0.67,1.28,1.32,0.55,0.73,0,0.3,0.78,0.57,0.59,0.71,1.46,1.08,1.42,0.41,0,1.77,0.58,0.93,0.65,0.38,0.28,0.61,0.56,0.47,0.62,0.48,0.56,0.84,1.34,0.71,0.48,0.31,0.52,0.53,1.31,0.33,0.39,0.43,0.3,0.76,0.37,0.43,0,0,0.31,0.58,0.4,0.45,0.44,0.26,0.31,0.47,0.6,0.27,0.34,0.55,0.57,0.43,0.35,0.46,0.24,0.17,0.23,0.4,0.33,0.45,0.34,0.17,0.15,0.74,0.31,0.18,0.28,0.22,0.36,0.34,0.24,0.44,0.35,0.26,0,0.24,0,0.42,0.49,0,0,0.31,0,0.18,0.4,0.48,0.2,0.18,0.31,0.27,0.15,0,0.14,0.27,0.25,0.38,0.21,0.24,0.09,0.43,0.3
C26,26,Alkane,39.733,2600,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.26,0.27,0,0.16,0.3,0.58,0.4,0.24,0.26,0.39,0.34,0.41,0.63,0.28,0.32,0.21,0.54,0.32,0.77,1.19,0.63,0.24,0.95,0,0,0.38,0.43,1.22,0.2,0.36,0.34,0.16,0.39,1.03,1.45,0.26,0.5,0.72,0.9,0.16,1.04,0.48,0.42,0.43,0.31,0.89,0.29,0.74,1.14,0.16,0.92,1.23,0.85,0.2,0.9,1.49,0.94,0.62,0.45,0.6,0.2,1.18,0.84,0.45,0.61,0.51,0.69,0.92,0.19,0.84,0.35,0.4,1.17,0.22,0.91,0.51,0.59,0.75,0,0.51,1.13,2.1,0.63,1.01,0.51,1.13,1.03,0.79
C27ene_1,27,Alkene,40.864,2674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.13,0.06,0.22,0,0,0,0.51,0.09,1.31,0.69,1.13,0.06,2.27,0,0,0.08,0.06,4.27,0.08,0.2,0.78,0.08,0,0.51,5.11,0,0,0.82,2.15,0,3.22,1.05,0,0.39,0.58,1.67,0.08,0.31,2.24,0.08,1.68,2.27,2.26,0.19,1.01,2.14,1.67,0.26,2.03,2.68,0,2.13,2.3,0.99,1.43,3.34,1.52,1.62,0,1.84,1.33,1.6,2.74,0,1.63,0.38,3.62,1.92,0,0.39,3.47,2.42,1.84,3.46,1.52,2.01,1.1,2.07
C27ene_2,27,Alkene,40.971,2681,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.16,0,0.49,0,0.61,0,0.35,0,0,0,0,1.68,0,0,0.3,0,0,0.16,2.08,0,0.17,0.2,0.7,0,0.38,0.15,0,0,0,0.4,0,0,0.64,0,0.2,0.92,0.67,0,0.25,0.42,0.38,0,0,0.45,0,0,0.57,0.38,0.34,0,0.62,0.43,0,0.63,0.46,0,0,0,0.34,0,0.85,0.37,0,0,0.66,0.92,0,0.88,0.59,0.6,0.54,0.7
C27,27,Alkane,41.269,2700,27.14,26.82,27.75,37.5,29.5,24.52,29.13,23.83,19.89,25.28,23.68,18.84,22.14,21.84,28.28,35.99,21.22,21.79,20.82,17.07,21.88,19.9,15.37,15.89,19.08,20.89,20.2,19.55,16.26,21.22,11.35,12.05,20.26,11.73,11.65,14.04,13.58,11.36,19.47,23.59,22.98,10.52,25.73,13.31,16.09,12.29,15.9,18.6,7.94,9.92,14.37,9.32,12.56,19.12,18.28,11.46,8.44,18.67,24.22,12.63,19.67,11.55,14.16,17.69,17.22,24.77,11.45,15.04,20.41,8.19,22.36,30.4,16.15,7.43,20.3,26.14,18.66,21.48,12.66,14.89,7.4,26.06,20.66,22.02,14.28,14.11,17.22,22.95,9.45,19.04,12.66,12.13,24.3,13.5,20.99,18.54,12.43,16.02,7.48,14.26,22.57,27.78,11.18,14.83,10.87,18.57,11.83,18.15
13-;11-;9-MeC27,27,Methyl,41.677,2730,12.71,21.14,14.51,13.41,17.07,9.27,4.68,15.34,12.66,12.76,13.14,16.84,14.27,17.41,13.22,12.23,18.69,12.58,13.24,13.7,8.59,7.22,12.65,8.56,6.89,7.46,7.52,8.49,11.8,13.65,7.71,5.55,3.77,5.58,7.14,14.05,3.12,4.07,5.04,3.27,6.82,4.06,4.53,4.68,3.56,3.31,6.25,3.4,4.2,4.4,3,3.16,4.82,4.34,1.8,3.34,3.46,5.25,3.35,3.39,3.79,2.16,2.16,3.11,4.81,3.31,4.44,3.13,1.45,1.4,4.51,3.37,1.37,2.35,1.99,2.64,2.7,2.43,2.9,3.05,2.39,1.13,2.39,3.22,3.12,3.16,0.71,1.45,2.64,1.54,1.52,2.09,2.99,2.65,1.43,2.63,2.21,1.27,1.86,1.24,2.41,1.74,2.02,1.16,1.43,0.62,2.08,1.99
"11,15-diMeC27",27,Dimethyl,42.044,2757,0,0,0,0,0,0,0,0,0,0,0,0.58,0.45,0,0,0,0,0,0,0,0,0,0,0,0.23,0.31,0.57,0.48,0.9,0.53,0.76,0.44,0.19,0.53,0.34,0.93,0.1,0.12,0.38,0.14,0.23,0.23,0,0,0,0.1,0.26,0.2,0.33,0.25,0,0,0.29,0.35,0.04,0.18,0.37,0.31,0,0,0.29,0.08,0,0,0,0,0.18,0.13,0,0,0.19,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.11,0,0.08,0,0.14,0.16
"9,15-;9,17-diMeC27",27,Dimethyl,42.127,2763,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0.58,0,0.49,0.5,0,0.27,0.45,0.39,0,0,0,0,0,0,0,0,0,0,0.25,0.7,0.05,0.07,0,0,0.11,0,0,0,0,0.05,0.15,0.14,0,0.14,0,0,0.22,0.22,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.06,0.07,0.06,0,0.09,0
"7,15-;1,17-diMeC27",27,Dimethyl,42.241,2772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0,0.33,0.18,0,0.21,0,0.61,0,0,0.11,0,0,0,0,0,0,0,0,0,0.11,0.16,0,0,0,0.21,0.07,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.04,0.07,0,0.1,0
"5,17-;5,15-;5,13-diMeC27",27,Dimethyl,42.389,2783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.26,0.15,0,0.17,0.19,0.5,0,0,0,0,0,0,0,0,0,0,0.25,0.2,0.12,0.16,0,0,0.17,0.28,0.12,0,0.21,0.31,0,0,0.18,0.2,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0.25,0.25,0.18,0,0,0,0,0,0,0,0,0,0.24,0,0.48,0,0,0,0,0,0,0,0,0.2,0.15,0.08,0.21,0.15,0.13,0.29
