Compound,Ret_time,Ret_Index,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C11,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C12,C120,C13,C14,C15,C16,C17,C18,C19,C2,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C3,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C4,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C5,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C6,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C7,C70,C71,C72,C73,C75,C76,C77,C78,C79,C8,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C9,C90,C91,C92,C93,C94,C95,C96,C97,C99,C1,C10
C27,14.2187,2700,0.09521361,0.178331351,0.171019035,0.158533068,0.173293036,0.164626641,0.125317108,0.149678335,0.16746092,0.15693372,0.119020034,0.144241655,0.148733791,0.100649069,0.127384914,0.110231096,0.099826731,0.120892556,0.096314767,0.11528428,0.120856262,0.165712526,0.123018456,0.120503886,0.142972945,0.161107193,0.089863019,0.171562106,0.093811259,0.100261952,0.087574734,0.086645451,0.133559567,0.095409738,0.11597226,0.098141892,0.132976451,0.18959637,0.143140846,0.108043956,0.132133867,0.162548363,0.164480643,0.148378237,0.162660155,0.156211475,0.133697198,0.157365178,0.120029906,0.136346908,0.156633183,0.106390255,0.121166564,0.082430203,0.090795277,0.092141504,0.222937197,0.240821311,0.208730749,0.138824544,0.11897713,0.10363291,0.087121572,0.210769473,0.153831562,0.118986352,0.205631436,0.163992342,0.10866923,0.192819753,0.181170492,0.177259289,0.236746082,0.147977022,0.140931615,0.181502164,0.076935184,0.053134271,0.069686305,0.063460095,0.20494425,0.193677184,0.195227166,0.081582758,0.09137917,0.070067815,0.131580608,0.15261401,0.186666619,0.082530745,0.118903385,0.158087634,0.147672282,0.195496736,0.173910603,0.121432684,0.131369428,0.239746966,0.152323328,0.059523087,0.09906823,0.194470415,0.111739031,0.116025915,0.137660583,0.184510319,0.104007104,0.128576139,0.090016129,0.201261874,0,0.210872794,0.121379513,0.186990688,0.127456811,0.089541029,0.155037535,0.16412049
13-;11-MeC27,14.4902,2733,0.011132033,0.009580581,0.011072375,0.006638335,0.007189142,0.009378569,0.009826768,0.003745114,0.002796952,0.005163419,0.017043141,0.008456489,0.0068212,0.016204654,0.012320018,0.012166683,0.01344547,0.016495147,0.019334275,0.010406664,0.010884593,0.017910218,0.011634668,0.031024898,0.02450652,0.027936226,0.017851694,0.020644967,0.032347742,0.014793791,0.023478512,0.022203159,0.016444435,0.027860383,0.024734518,0.022596969,0.028942167,0.025632418,0.025955919,0.020214345,0.028104536,0.030136271,0.023134798,0.021179624,0.019634385,0.020976542,0.022566005,0.02692581,0.017293131,0.021886007,0.018935338,0.020859007,0.017882433,0.024114575,0.026812642,0.018548691,0.024653451,0.014264255,0.018039031,0.021546496,0.028234459,0.025887677,0.016227416,0.01718962,0.021386321,0.014367098,0.019135712,0.010126417,0.020045222,0.016020333,0.023124445,0.021724397,0.020153718,0.012636824,0.011215819,0.016493133,0.008344004,0.01521949,0.0088493,0.011740796,0.008764844,0.011639705,0.008640166,0.013617631,0.011493823,0.02219312,0.008239294,0.008847066,0.006780192,0.016363287,0.01159133,0.003509417,0.001368899,0.007354742,0.011646267,0.018743693,0.009967588,0.005686559,0.006214871,0.008969051,0.008595443,0.006975656,0.008107106,0.009877088,0.015272844,0.008522833,0.023487555,0.005615061,0.009958131,0.01315394,0.008521745,0.008408045,0.016372879,0.007537201,0.014947056,0.01156674,0.013945393,0.015310673
C28,15.041,2800,0,0.002579024,0.003789463,0.004526534,0.004410433,0.004508591,0.005271694,0.002137697,0.006960493,0.002929342,0.006745886,0.005347988,0.006744708,0.006736423,0.00498642,0.014447702,0.007445487,0.005221294,0.004459245,0.005033913,0.004186469,0.005802903,0.00561998,0.005162189,0.005245753,0.006671285,0.00462272,0.006536523,0.004860329,0.005364842,0.004188901,0.004598029,0.006494648,0.00690461,0.006219957,0.004569225,0.006128435,0.002924781,0.006854897,0.005618543,0.006982909,0.003587698,0.004693994,0.006125461,0.005130168,0.005425272,0.004784194,0.003523608,0.003518141,0.004587667,0.005648243,0.005273248,0.00288402,0.003608676,0.004457594,0.005279549,0.004999456,0.004681398,0.005748946,0.005472421,0.005682017,0.005790851,0.004730629,0.005555344,0.00636003,0.006309879,0.005079121,0.003895383,0.005012108,0.005390793,0.007296718,0.005857017,0.003912381,0.006490254,0.004048633,0.00633053,0.005169935,0.002420659,0.005327147,0.003242602,0.006851329,0.002920177,0.004725838,0.003377501,0.004831395,0.003895975,0.005189509,0.006626956,0.005389574,0.003783452,0.004333656,0.002130307,0.004423288,0.007038514,0.008802785,0.00501725,0.004678077,0.003725125,0.007330184,0.005019902,0.00238722,0.002530943,0.004576827,0.007706705,0.00571223,0.002767817,0.006715593,0.004397135,0.003821976,0.006249286,0.006481832,0.003353044,0.004130165,0.003348358,0.005512487,0.004144187,0.00101826,0.004996005
C29ene,15.7307,2882.7,0.064585914,0.019332633,0.022558609,0.023135233,0.026603328,0.034665195,0.019582928,0.011715177,0.021292646,0.022200512,0.019891859,0.030417977,0.033749539,0.066803793,0.02328644,0.071299364,0.02704826,0.042355369,0.020592464,0.021215372,0.02022967,0.029976007,0.028640774,0.01790195,0.020312728,0.02613354,0.019616496,0.036981171,0.024390985,0.032699327,0.012586522,0.017488323,0.02012373,0.016713965,0.017270843,0.013922083,0.019381563,0.017910059,0.02085349,0.01889938,0.028866557,0.009244396,0.02807722,0.029213194,0.025859921,0.018936083,0.018828906,0.060231258,0.015157335,0.023057939,0.019768672,0.025406836,0.017113636,0.034873402,0.014903739,0.014710406,0.018804636,0.019476312,0.014777848,0.015670317,0.017915799,0.018732201,0.031917143,0.032022749,0.02478052,0.023756612,0.043055962,0.010223574,0.024368459,0.013617818,0.021243885,0.0185798,0.036537956,0.025174052,0.0113245,0.028630505,0.027958246,0.025847475,0.021464324,0.021079886,0.028760802,0.018258639,0.013494206,0.059813369,0.036809345,0.091310013,0.005698048,0.009452835,0.024603219,0.059238591,0.076638694,0.012064735,0.007036881,0.034008532,0.031160672,0.005979092,0.021367183,0.023676552,0.030692576,0.022206682,0.014335419,0.017636815,0.007110188,0.026329678,0.018645037,0.013262453,0.006487675,0.011802091,0.014145718,0.030816594,0.014295824,0.01979711,0.02710988,0.016403189,0.025998514,0.045141718,0.003767977,0.014990288
C29,15.8752,2900,0.027947164,0.047323923,0.071926599,0.092173342,0.096832803,0.137251527,0.139310867,0.07022007,0.182873925,0.073072001,0.150865388,0.084716804,0.141941293,0.0782338,0.086238892,0.100048551,0.122451979,0.119570192,0.099052674,0.12287691,0.127349521,0.183510496,0.120463147,0.104349163,0.085287667,0.109794838,0.137994699,0.145216518,0.132322692,0.125394484,0.121832881,0.113249638,0.147596194,0.122524561,0.123656165,0.123156223,0.131706527,0.072134538,0.123354111,0.121402636,0.130716824,0.139021777,0.120412741,0.14062496,0.124545316,0.121625384,0.085590831,0.052502091,0.064286646,0.134584519,0.096871239,0.10100759,0.140391408,0.126629064,0.139434,0.126172703,0.098148375,0.078009803,0.112360038,0.093002954,0.11257179,0.130965072,0.133461411,0.13738855,0.133589787,0.128105279,0.151224838,0.07468907,0.129060451,0.103405404,0.199734168,0.143498929,0.113615996,0.153846838,0.083917404,0.143757187,0.130647763,0.090225577,0.140221163,0.093372861,0.173231167,0.118994523,0.083691736,0.090978765,0.127317156,0.089163028,0.089029965,0.118053878,0.12752669,0.096205811,0.076683286,0.049185822,0.101973435,0.179224227,0.135151563,0.146405386,0.152090467,0.088423058,0.174276464,0.164635094,0.064148879,0.067074787,0.080647445,0.160144127,0.151352227,0.079504816,0.141212094,0.093029492,0.11652925,0.119341138,0.113764412,0.05932516,0.106172681,0.062968535,0.138209299,0.114440783,0.05718144,0.081073347
15-;13-;11-MeC29,16.1327,2932.2,0.01014278,0.009527496,0.010444999,0.006124679,0.006144135,0.009283773,0.009439235,0.002787089,0.002951715,0.004573553,0.015282161,0.00847502,0.00666965,0.017115797,0.010925388,0.013004966,0.012534265,0.014843875,0.020934115,0.010152391,0.009748504,0.018195035,0.010014163,0.03210943,0.023340458,0.027187598,0.015550271,0.020989072,0.033558065,0.013584078,0.020910628,0.019555831,0.015290242,0.027709405,0.026611351,0.023420522,0.025968439,0.023156913,0.025208611,0.017716296,0.027931579,0.023407141,0.021337628,0.019419221,0.019158209,0.019977195,0.025978343,0.027202967,0.017591961,0.021744731,0.020613632,0.01831301,0.014622381,0.019610165,0.022149111,0.019186862,0.025203894,0.013320877,0.018472195,0.023286981,0.028097813,0.025897476,0.013234179,0.015929718,0.021566444,0.014730026,0.01564264,0.008917468,0.017658075,0.015854607,0.020901683,0.023152759,0.01950071,0.010856659,0.008950217,0.015321933,0.007923127,0.016361607,0.009118878,0.009549267,0.009379582,0.010745005,0.007867023,0.012359833,0.00961873,0.02110916,0.008615695,0.009189556,0.004532633,0.015493044,0.011328202,0.004431791,0.001650523,0.009979821,0.014542252,0.017532898,0.008800584,0.004559764,0.006725547,0.01099818,0.008100117,0.008388874,0.00765182,0.009421184,0.015438264,0.00818018,0.026524201,0.006095948,0.009764761,0.014035826,0.005595154,0.007892947,0.015825844,0.005830514,0.017668555,0.011677092,0.010654336,0.014416244
"11,17-diMeC29",16.3619,2960.8,0,0.001448835,0.001819404,0,0,0,0,0,0,0,0.002533588,0,0,0,0.002827407,0,0,0.002725805,0.004123568,0,0,0,0,0.006227012,0.004691038,0.005684649,0.002065883,0.003384196,0.005934763,0.001274674,0.0033124,0.003771404,0.001772354,0.006208423,0.004794845,0.003106567,0.004476899,0.002629071,0.0033866,0.003541031,0.005567325,0.001832804,0.004431354,0.003222605,0.002438374,0.003334515,0.005829387,0.006078265,0.002802021,0.00371705,0.003907632,0.003784647,0.001211674,0.003058747,0.002603322,0.002207756,0.004252793,0.001966572,0.002869924,0.002462518,0.00559104,0.005107812,0.002588802,0.001749573,0.002341221,0.002453684,0.002432797,0.001535374,0.002112076,0.002214502,0.002495834,0.002188711,0,0,0,0.00191153,0,0,0,0,0,0,0,0,0,0.004446113,0,0.001834325,0,0,0,0,0,0,0.002094274,0.002378958,0,0,0,0.002625085,0,0,0,0,0.001571465,0,0.003022669,0,0,0,0,0,0,0,0,0,0,0.00287775
C30ene,16.5216,2980.8,0,0,0,0.00110882,0,0.002360782,0.002881141,0,0.003463233,0.001271689,0.003143196,0.001994702,0.003657759,0,0.004757146,0,0.004961998,0.003752227,0.006166359,0.003386466,0.00404545,0,0.003356514,0.003385171,0.002438127,0.003042367,0.00321649,0.003834194,0.003506551,0.00524238,0.002002644,0.003983076,0.004042608,0.004745699,0.004764028,0.002925426,0.003414017,0,0.00313615,0.003813408,0.004159761,0,0.003140932,0.003808281,0.003617984,0.003831208,0.002263196,0,0.001844661,0.002090671,0.001698925,0.003811003,0.001401401,0.003817772,0.003121219,0.003017061,0,0,0,0.001514391,0.004878607,0.005181169,0.005977506,0.001555121,0.003231512,0.004097248,0.002437931,0,0.003321146,0,0,0.001713546,0,0.003284153,0,0.002555985,0.005433006,0.003668491,0.004939845,0.003645806,0.002630516,0,0.001658097,0.003199569,0.007059874,0.002941273,0,0.002263597,0,0.003260062,0,0,0,0,0.00295724,0.004771391,0,0,0.003811562,0.005843963,0,0,0.001999052,0.004062462,0.002644824,0,0.001768858,0,0.00306337,0.002768849,0.002304183,0,0.002209135,0,0.002719595,0.003168779,0,0
C30,16.6752,3000,0,0,0.001272196,0.001425617,0.001539183,0,0.002659611,0,0.003028992,0.000859553,0.00367474,0.001533165,0.002198459,0,0.002085738,0,0.002028933,0.001550325,0.002914791,0.003030839,0.002796694,0.001875498,0.002057658,0.002190346,0.001672922,0.001766787,0.00227575,0.002239645,0,0.00205455,0.00292874,0.003153266,0.002072657,0.004555768,0.003661467,0.002525093,0.003098005,0,0.002753047,0.003416314,0.003751322,0,0.002487299,0.002137006,0.001861081,0.002516791,0.002105229,0,0.000982795,0.001605941,0.002120344,0.003009759,0.001099514,0.001700942,0.001516064,0.002875874,0.001090816,0,0.001728744,0.001376686,0.003221235,0.002986523,0.001798234,0.001178834,0.002284443,0.003761497,0,0.001004525,0.002027317,0,0.002118895,0.002407107,0,0.002722277,0.000999541,0.002126417,0.002139471,0,0.003161812,0,0.001666466,0,0.001269984,0.001517164,0.002078871,0.002774288,0.002053019,0.003335898,0.001846471,0.001759922,0.001691302,0,0.001381445,0.001559552,0.004229368,0.003725942,0.002936537,0,0.003017669,0.005200759,0,0,0.001687094,0.002588671,0.00268899,0,0.005220843,0.001291663,0.00268735,0.00149802,0.002296416,0,0,0,0.002191941,0.002228476,0,0.001502562
C31diene,17.2231,3063.4,0,0.000870852,0.002206252,0.001522107,0.002039145,0.001575144,0.004419409,0.00109089,0.001846896,0.001176631,0.002013567,0.003663579,0.004295998,0.008538903,0.007866783,0,0.005802643,0.010772932,0.008812025,0.004269613,0.004609397,0.001338826,0.003065048,0.002729073,0.003035253,0.003373804,0.001642807,0.001231956,0.001691423,0.001341989,0.001294005,0.003481465,0.002251818,0.005008671,0.003813321,0.001949318,0.003562223,0.001638804,0.00177448,0.004183632,0.003120068,0.001048555,0.003711656,0.003197768,0.002589838,0.004545605,0.002754836,0.002867276,0.002108483,0.002600036,0.002806533,0.004827298,0.001335462,0.002142198,0.002075868,0.001054496,0.001683085,0.000989188,0.000826272,0.001975212,0.004612892,0.004296279,0.00352508,0.000969887,0.003388703,0.00218752,0.001174414,0,0.001773626,0.001396613,0.0032929,0.001335378,0,0.001021936,0,0.002586899,0.005473741,0.004849693,0.004508186,0.005791218,0.002746111,0.001328015,0.002796767,0.00906249,0.010185436,0.001942757,0.001834164,0.002527219,0.004097063,0.003362767,0.001704303,0,0,0.001751512,0.002417517,0.001609394,0.002960824,0.002474371,0.002068493,0.007586662,0.001560036,0.001875621,0.002865886,0.004668599,0.007121938,0.001959068,0.003327878,0.001850685,0.003931616,0.003167891,0.005630241,0.002246853,0.004378847,0.001735237,0.003462417,0.004523134,0,0.00106228
C31ene_1,17.3359,3076.4,0.091984169,0.024766178,0.031380654,0.055119144,0.051240619,0.095983603,0.097757347,0.041960225,0.101442598,0.049321834,0.087187341,0.058142401,0.098767391,0.103555987,0.081955143,0.177638528,0.118983596,0.114120657,0.121230037,0.090307012,0.099048792,0.092119437,0.101453271,0.091929881,0.056236103,0.074566197,0.120551119,0.1018884,0.117275278,0.136774246,0.067330235,0.100411792,0.107527601,0.09961374,0.102370619,0.098826023,0.094068104,0.049793807,0.088847854,0.097315297,0.098383515,0.061022458,0.08765285,0.110389642,0.108817863,0.096382936,0.044469208,0.11503048,0.039859795,0.076802267,0.039806227,0.083060598,0.104643263,0.139067321,0.129429411,0.090424626,0.049742329,0.029595635,0.023100291,0.067722158,0.104732708,0.11680908,0.141275147,0.081793358,0.101702857,0.102640328,0.105242915,0.033839072,0.108635941,0.034773231,0.087057914,0.080803731,0.085124297,0.099204378,0.033912561,0.088850347,0.148723291,0.127292139,0.124938187,0.161966018,0.105874599,0.080796545,0.066701507,0.14364365,0.161113997,0.217422021,0.050622798,0.059244148,0.064846554,0.126348911,0.144844657,0.021680119,0.01377371,0.076233094,0.06800947,0.080106128,0.094565908,0.042915512,0.116200699,0.126086211,0.057328136,0.054558354,0.060564308,0.113833762,0.114425779,0.048344416,0.074869338,0.055232168,0.107357249,0.094401804,0.068785219,0.044500013,0.084787072,0.03792192,0.086914495,0.10698212,0.013869091,0.039003428
C31ene_2,17.3985,3083.7,0,0.016652647,0.026484172,0.048396633,0.047799193,0.075710174,0.105434843,0.041089933,0.107609799,0.041126333,0.095879956,0.048420587,0.078220071,0.051796402,0.067493554,0,0.088584114,0.089697703,0.102357667,0.091009491,0.092943029,0.070869603,0.08434931,0.090158607,0.050185667,0.066987686,0.10773992,0.084157204,0.105965062,0.108310245,0.102187057,0.095763898,0.099705987,0.089855571,0.089612625,0.101081811,0.088106511,0.044834209,0.082200278,0.09395012,0.076995463,0.087395338,0.072467663,0.087517449,0.089239566,0.080723516,0.041604269,0,0.035226993,0.079458125,0.043218377,0.077390294,0.110167289,0.105109458,0.120318635,0.096890388,0.038875382,0.024434956,0.027767568,0.069846747,0.090268107,0.099253178,0.114767686,0.07399291,0.084892984,0.099222473,0.083324712,0.033203378,0.106036134,0.038433171,0.072686358,0.076762302,0.066540362,0.089747333,0.043694805,0.071029174,0.112088906,0.118023545,0.110711801,0.112395242,0.086163775,0.062902702,0.069586073,0.100997857,0.116496035,0,0.050840275,0.056180464,0.059329433,0.076839301,0,0.02238793,0.018215314,0.06664426,0.063336667,0.090409592,0.097464111,0.035307254,0.110805279,0.12778631,0.053725623,0.047305786,0.057169605,0.088986629,0.096273402,0.046872761,0.093136778,0.053384641,0.115544122,0.091361762,0.062391451,0.043840541,0.076344122,0.041596627,0.091759243,0.095549251,0.02851364,0.036646281
C31,17.5398,3100,0.014253233,0.019600363,0.047384142,0.055619701,0.058620424,0.049816048,0.106561509,0.031568936,0.107226495,0.030604335,0.122935154,0.045987178,0.066577543,0.047693062,0.059411567,0.057101712,0.064316356,0.057419581,0.080955953,0.099070691,0.097021936,0.095196132,0.071911211,0.08560179,0.05063195,0.057504418,0.10112562,0.07144855,0.072560882,0.079283811,0.13476727,0.111176827,0.081623431,0.115941041,0.090702859,0.109654339,0.107244953,0.039480046,0.089355839,0.106530694,0.103726201,0.106097374,0.089519985,0.077698578,0.068342328,0.076812411,0.060472454,0.028228448,0.031831819,0.090211371,0.062221991,0.085906647,0.094294682,0.066707271,0.07961067,0.12151786,0.048092787,0.023445719,0.060679854,0.052929894,0.087683315,0.084685141,0.073824905,0.064269128,0.078492524,0.106900064,0.053607285,0.043203396,0.090799876,0.060372786,0.092879126,0.09902737,0.048710466,0.092119427,0.05391546,0.074611435,0.075007988,0.08042913,0.101647085,0.058392962,0.068909856,0.045507469,0.050262007,0.066018997,0.06510391,0.077788464,0.066808702,0.092240887,0.073600954,0.064403486,0.04707471,0.026593943,0.044245863,0.064774092,0.103632622,0.150572718,0.125728908,0.029843108,0.103956408,0.145893947,0.034496913,0.034504579,0.056586315,0.087325132,0.11438574,0.042124409,0.162731841,0.052762474,0.1158242,0.066454499,0.069482284,0.031436542,0.056441125,0.032051429,0.092629119,0.079804629,0.024422308,0.046373847
15-;13-MeC31,17.8178,3132.2,0.004618312,0.004128259,0.004407943,0.003133581,0.003275393,0.003804149,0.005410863,0.001092507,0.002291037,0.001711335,0.008647844,0.004305154,0.003183347,0.008658082,0.005216117,0,0.006231496,0.006405213,0.009846942,0.004486647,0.003006834,0.006756411,0.004286748,0.016438434,0.011841527,0.012306354,0.007323438,0.009204533,0.015170377,0.006409506,0.011214813,0.009239846,0.007179827,0.016454598,0.013005537,0.010984023,0.011829797,0.00929619,0.014343768,0.008086668,0.013997838,0.00882367,0.010837387,0.00853496,0.010352688,0.009617854,0.014041877,0.013376141,0.007916498,0.008740136,0.010928453,0.009238334,0.00693929,0.008700061,0.009690318,0.009704314,0.012242873,0.004528128,0.00826534,0.010433759,0.015524145,0.011449834,0.005394875,0.009194602,0.010888221,0.009495866,0.0062479,0.003043458,0.009780069,0.00720634,0.009215039,0.012162492,0.006849274,0.005304563,0.004479887,0.006349322,0.002191087,0.007620138,0.005130843,0.002559939,0.004222834,0.00385814,0.004045884,0.005247652,0.005487516,0.010722427,0.004906231,0.004947231,0.001748199,0.006177871,0.005205699,0,0,0.004065727,0.007283436,0.00814797,0.003503721,0,0.004494011,0.004467307,0.003306005,0.003328673,0.004114291,0.005544266,0.008078725,0.003940216,0.017774561,0.002217524,0.006393088,0.005024654,0.002779167,0.004598729,0.00694324,0.002385975,0.00858353,0.004789594,0.003556284,0.007793145
C32ene,18.0575,3159.9,0,0,0,0.001418223,0,0,0.003298834,0,0.003500018,0,0.003981772,0,0.002824281,0,0.003848364,0,0.003772588,0.003585983,0.007588952,0.004822512,0.002557152,0,0.00467162,0.003970649,0.002939878,0.003390419,0.004713959,0.003717539,0.003951307,0.005613457,0.003200076,0.00579626,0.005253549,0.009069168,0.007153492,0.006301451,0.004745094,0,0.004825763,0.005278121,0.004847979,0,0.003299172,0.005440106,0.005428326,0.005332099,0,0,0,0.002180141,0,0.004935502,0.001879035,0.0048212,0.0040204,0.005878017,0.001908769,0,0,0.002922808,0.007434068,0.006316533,0.005193109,0.001554944,0.004222408,0.005909613,0.002394284,0,0.004685665,0,0,0.003060716,0,0.004755925,0,0.004103999,0.005249762,0.003779863,0.004982835,0.003215232,0.001751376,0,0.002195913,0.004372638,0.00537618,0.003467088,0.002122829,0.002085396,0,0.003317824,0,0,0,0,0.004750038,0.002808143,0.003274877,0,0.003938849,0.004752603,0,0,0.00272889,0.0038974,0.003634883,0,0.006573387,0.001785035,0.005422738,0.003525959,0.003772242,0,0,0,0.002550189,0.003037107,0,0.001679071
C33diene,19.1749,3247.8,0.009035892,0.002641705,0.005881229,0.009605765,0.008126089,0.005383559,0.022973482,0.006522653,0.010452017,0.004777798,0.012629737,0.008069458,0.015977541,0.027731942,0.032545459,0.031456879,0.067793147,0.040733454,0.049052231,0.018963215,0.022654615,0.008459284,0.01610611,0.022528652,0.014821735,0.020088547,0.013362158,0.009329778,0.017892036,0.010816294,0.012084517,0.024597083,0.012568939,0.032195003,0.023757631,0.020379496,0.020071205,0.006670242,0.017094355,0.025246934,0.018888253,0.005563659,0.016937681,0.021484212,0.018211267,0.020431639,0.009417142,0.01733359,0.008569186,0.016296568,0.01062557,0.020772725,0.013574711,0.019649839,0.020039364,0.010609456,0.008063161,0.002044052,0.003243373,0.017974981,0.03616422,0.028090856,0.015937762,0.007023387,0.012168025,0.011483345,0.008292499,0.005297751,0.011956088,0.006024224,0.012244067,0.010390489,0.004980572,0.010256004,0.002917784,0.008795223,0.02884656,0.042256536,0.030774071,0.040688384,0.015919494,0.008816807,0.018725588,0.046259997,0.033612869,0.017281811,0.013271006,0.01310301,0.012462704,0.023725504,0.015755341,0.001822371,0.000996214,0.008151647,0.008181665,0.013714949,0.015167735,0.003485996,0.011934643,0.031200129,0.010032275,0.010639541,0.018514377,0.022306509,0.031272713,0.006055803,0.022866062,0.008149947,0.027472707,0.024150677,0.027084111,0.009850784,0.018095807,0.007589357,0.019721735,0.024246747,0.000801185,0.003556518
C33ene,19.4164,3262.8,0.04145614,0.02682013,0.065105362,0.078972174,0.07708905,0.099105953,0.17818208,0.069091331,0.16444314,0.055513566,0.152310056,0.074694701,0.11692228,0.123153992,0.148113603,0.130965353,0.156113211,0.172498187,0.223766959,0.165041191,0.141726018,0.106516911,0.162131572,0.215328195,0.120630745,0.149334727,0.206774668,0.151124095,0.20397179,0.20036579,0.186425262,0.209034038,0.180085024,0.213505978,0.21590087,0.240561519,0.184478846,0.104215425,0.179450636,0.216258139,0.172266509,0.174277576,0.156727547,0.206900434,0.204824908,0.197179963,0.084871489,0.086170819,0.075294888,0.160628114,0.078137981,0.1573669,0.18825557,0.227940343,0.226323459,0.241345683,0.090173064,0.041332671,0.041381604,0.166331296,0.22088301,0.230322025,0.185600693,0.124671214,0.1514478,0.187118982,0.127646612,0.06715637,0.202840542,0.073009452,0.126928642,0.147557907,0.108856651,0.171698075,0.081849156,0.146864832,0.207576151,0.222392612,0.199206967,0.253913256,0.121900255,0.114788682,0.143185069,0.212997664,0.202921145,0.186177393,0.098082811,0.101202229,0.096575203,0.167594336,0.113179199,0.024153353,0.022322328,0.064771961,0.139077026,0.211658536,0.173086339,0.055089688,0.15800483,0.183778764,0.094511497,0.107845337,0.120589949,0.14495803,0.166073101,0.067758595,0.191321292,0.098515651,0.275505216,0.177931553,0.13421197,0.065463094,0.105828802,0.062772874,0.132667044,0.148536103,0.053521114,0.068152214
C33,20.0153,3300,0,0,0.00429082,0.002533767,0.005169958,0.001962643,0.014338015,0.001373298,0.005800548,0.001330203,0.014780035,0.004421249,0.003428652,0.006251644,0.008620506,0,0.004519331,0.005551042,0.011675463,0.011076029,0.009510466,0.006511356,0.006198335,0.01470627,0.004385275,0.005229584,0.010824202,0.005541642,0.004590571,0.00721168,0.025075946,0.018685427,0.007092601,0.0199596,0.011839235,0.018721997,0.012191777,0.004233955,0.009924411,0.019825264,0.01428352,0.019476679,0.008534977,0.005212608,0.005717492,0.007505484,0.005772724,0,0.002091641,0.004134775,0.00417424,0.01268263,0.006331583,0.004408243,0.003898173,0.021301635,0.002904017,0,0.002397875,0.00361841,0.01191358,0.007959689,0.005288408,0.003424345,0.003998394,0.011278492,0.002860191,0.00254658,0.011084506,0.003702928,0.003908437,0.006121497,0.003422579,0.006904392,0.005897395,0.005097262,0.007315488,0.010884458,0.013549707,0.00996892,0.003498311,0,0.00343731,0.009736688,0.007492215,0.009086771,0.007214287,0.013303896,0.004124138,0.004640349,0.006217979,0,0.002256885,0,0.015654324,0.016135095,0.01439134,0,0.005869387,0.012354918,0.002365459,0.006017319,0.006746089,0.005792751,0.009349695,0,0.026569644,0.00325302,0.018279725,0.004257556,0.007935031,0,0.003273029,0.002013019,0.006286905,0.005200759,0,0.002984356
